goout,absences,target
4,6,0
3,4,0
2,10,0
2,2,0
2,4,0
2,10,0
4,0,0
4,6,0
2,0,0
1,0,0
3,0,0
2,4,0
3,2,0
3,2,0
2,0,0
4,4,0
3,6,0
2,4,0
5,16,1
3,4,0
1,0,0
2,0,0
1,2,0
4,0,1
2,2,0
2,14,0
2,2,0
4,4,1
3,4,0
5,16,1
2,0,1
1,0,0
2,0,0
2,0,0
3,0,0
1,0,0
3,2,0
3,7,0
2,2,0
1,8,0
3,25,0
3,8,1
3,2,0
1,0,0
3,14,0
2,8,0
5,12,1
2,4,0
3,2,0
4,2,0
3,2,0
3,2,0
5,6,1
4,0,0
4,6,1
4,8,0
2,0,0
2,4,0
2,2,0
3,2,0
4,6,0
5,6,1
3,4,0
4,2,1
4,0,1
3,2,0
3,4,1
3,4,0
3,2,0
2,12,0
2,0,0
3,0,0
4,2,1
2,2,0
3,54,1
3,6,0
3,8,0
3,0,0
1,2,0
3,12,0
2,2,0
2,4,0
4,10,0
3,4,0
2,2,0
4,6,0
4,4,0
3,4,0
2,12,0
3,18,1
3,0,0
5,4,0
3,4,0
3,0,0
4,6,0
2,2,0
3,2,0
5,2,0
4,6,0
5,0,0
5,14,1
3,0,0
3,4,0
5,26,0
4,0,0
3,10,0
2,8,0
3,2,0
5,6,1
5,4,0
3,6,0
2,0,0
2,6,0
2,10,0
2,8,0
4,2,0
3,2,0
2,0,0
4,20,1
3,6,0
3,2,0
4,6,0
2,2,0
4,18,1
4,0,0
5,0,0
2,0,0
2,2,0
3,0,0
5,8,1
2,0,0
3,0,0
4,12,0
1,16,1
3,0,0
3,0,0
5,0,1
2,0,0
4,0,0
2,0,0
2,0,0
3,8,0
2,2,0
4,2,0
5,0,0
2,0,0
2,0,0
2,2,0
2,0,0
5,0,1
5,0,1
4,6,1
1,8,0
4,0,0
1,0,0
4,2,0
2,8,0
5,6,1
2,2,0
5,4,1
2,0,0
4,6,1
4,0,1
3,2,1
5,0,1
2,16,0
5,4,1
3,0,0
5,0,0
2,0,0
5,0,1
2,2,0
4,0,0
5,0,0
5,4,0
4,4,1
4,2,1
4,4,1
3,10,1
3,4,0
3,10,0
3,2,0
2,0,0
3,56,0
2,14,0
4,12,0
3,2,0
3,0,0
3,6,0
3,4,1
3,10,0
3,0,0
4,12,1
2,8,1
3,0,0
2,0,0
3,4,0
4,8,1
4,24,0
2,0,0
5,2,1
3,6,0
4,4,0
2,18,0
5,6,0
3,28,1
3,5,0
2,10,0
2,6,1
2,6,0
3,10,0
5,13,1
4,0,0
4,15,1
1,12,0
4,2,0
5,22,1
4,13,1
3,3,1
3,4,0
5,2,0
4,0,0
1,2,0
3,0,1
2,0,0
3,16,0
4,10,0
3,2,0
2,14,1
3,10,0
3,14,0
2,4,0
5,14,0
4,2,1
2,18,0
3,10,0
2,4,1
2,20,0
1,2,0
4,0,1
5,14,1
3,2,0
5,0,0
2,0,0
4,0,0
3,6,0
2,4,0
5,16,1
3,8,0
2,0,1
5,0,1
3,6,0
5,4,1
2,0,0
2,0,1
4,2,0
3,6,0
1,12,0
4,8,0
1,0,0
2,21,0
2,2,0
2,1,0
3,4,0
3,0,0
5,13,1
4,2,1
4,8,0
5,10,0
5,0,0
5,15,0
5,4,0
3,2,0
2,2,0
3,2,0
4,6,0
1,75,0
4,22,1
4,15,0
3,8,0
4,30,1
4,19,1
2,1,0
4,4,0
5,4,0
3,2,0
3,5,0
3,6,0
4,6,0
3,9,0
2,11,1
2,0,0
3,12,0
2,6,0
2,8,0
3,4,0
4,0,0
5,10,0
3,0,0
2,5,0
4,14,0
1,0,0
3,0,0
2,0,0
4,20,0
3,8,0
3,0,0
4,38,0
3,0,0
3,18,0
4,0,0
1,20,0
2,3,0
2,22,0
2,14,0
2,40,0
3,0,0
4,9,0
4,0,1
4,2,0
2,23,0
2,12,0
2,3,0
3,1,0
3,0,0
3,3,0
5,3,1
5,8,1
4,7,0
3,4,0
5,2,1
3,7,0
4,0,0
3,0,0
4,0,0
5,16,0
3,12,0
2,0,0
3,7,0
3,4,0
4,4,0
3,0,0
3,11,0
1,0,0
3,4,0
3,7,0
2,9,0
5,0,0
3,0,0
5,10,1
4,8,0
4,2,0
3,7,0
4,4,0
5,4,0
4,0,0
3,4,0
3,2,0
2,4,0
2,0,0
4,0,1
3,2,0
2,0,0
4,0,0
2,0,0
4,4,1
2,0,0
1,0,0
3,0,0
2,10,1
2,4,0
3,3,0
3,8,0
5,14,0
4,0,0
2,2,0
3,4,0
3,4,1
3,0,0
4,17,0
4,4,1
3,5,0
3,2,0
2,0,0
3,14,1
3,2,0
3,7,0
2,0,0
4,0,0
1,0,0
4,11,1
5,3,1
3,3,0
1,0,1
3,5,0
